timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674560710003,3782,BGCA home page,200,OK,BGCA Thread Group 1-4,text,false,"The operation lasted too long: It took 3,782 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2942,0,1466
1674560710266,4024,BGCA home page,200,OK,BGCA Thread Group 1-6,text,false,"The operation lasted too long: It took 4,024 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,3252,0,1233
1674560709875,4436,BGCA home page,200,OK,BGCA Thread Group 1-3,text,false,"The operation lasted too long: It took 4,436 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,3644,0,1665
1674560711460,3242,BGCA home page,200,OK,BGCA Thread Group 1-15,text,false,"The operation lasted too long: It took 3,242 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2470,0,813
1674560709739,4924,BGCA home page,200,OK,BGCA Thread Group 1-2,text,false,"The operation lasted too long: It took 4,924 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,4086,0,1713
1674560710878,3884,BGCA home page,200,OK,BGCA Thread Group 1-10,text,false,"The operation lasted too long: It took 3,884 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,3133,0,899
1674560711058,3614,BGCA home page,200,OK,BGCA Thread Group 1-12,text,false,"The operation lasted too long: It took 3,614 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2855,0,796
1674560710133,4506,BGCA home page,200,OK,BGCA Thread Group 1-5,text,false,"The operation lasted too long: It took 4,506 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,3719,0,1312
1674560710926,3781,BGCA home page,200,OK,BGCA Thread Group 1-11,text,false,"The operation lasted too long: It took 3,781 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,3018,0,870
1674560711193,3519,BGCA home page,200,OK,BGCA Thread Group 1-13,text,false,"The operation lasted too long: It took 3,519 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2752,0,861
1674560711332,3292,BGCA home page,200,OK,BGCA Thread Group 1-14,text,false,"The operation lasted too long: It took 3,292 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2493,0,792
1674560714132,1093,About Us,200,OK,BGCA Thread Group 1-4,text,true,,96339,422,15,15,https://www.bgca.org/about-us,822,0,0
1674560714134,1159,About Us,200,OK,BGCA Thread Group 1-9,text,true,,96339,422,14,14,https://www.bgca.org/about-us,894,0,0
1674560714135,2730,About Us,200,OK,BGCA Thread Group 1-8,text,false,"The operation lasted too long: It took 2,730 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,13,13,https://www.bgca.org/about-us,2476,0,0
1674560714338,2821,About Us,200,OK,BGCA Thread Group 1-3,text,false,"The operation lasted too long: It took 2,821 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,12,12,https://www.bgca.org/about-us,2554,0,0
1674560714095,3258,About Us,200,OK,BGCA Thread Group 1-1,text,false,"The operation lasted too long: It took 3,258 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,11,11,https://www.bgca.org/about-us,3247,0,0
1674560714797,2574,About Us,200,OK,BGCA Thread Group 1-12,text,false,"The operation lasted too long: It took 2,574 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,10,10,https://www.bgca.org/about-us,2276,0,0
1674560714794,2579,About Us,200,OK,BGCA Thread Group 1-15,text,false,"The operation lasted too long: It took 2,579 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,10,10,https://www.bgca.org/about-us,2301,0,0
1674560714780,2813,About Us,200,OK,BGCA Thread Group 1-2,text,false,"The operation lasted too long: It took 2,813 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,8,8,https://www.bgca.org/about-us,2550,0,0
1674560714805,2807,About Us,200,OK,BGCA Thread Group 1-11,text,false,"The operation lasted too long: It took 2,807 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,7,7,https://www.bgca.org/about-us,2531,0,0
1674560714326,3308,About Us,200,OK,BGCA Thread Group 1-6,text,false,"The operation lasted too long: It took 3,308 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,7,7,https://www.bgca.org/about-us,3008,0,0
1674560714792,2855,About Us,200,OK,BGCA Thread Group 1-10,text,false,"The operation lasted too long: It took 2,855 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,6,6,https://www.bgca.org/about-us,2582,0,0
1674560714805,2843,About Us,200,OK,BGCA Thread Group 1-13,text,false,"The operation lasted too long: It took 2,843 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,6,6,https://www.bgca.org/about-us,2572,0,0
1674560714813,2859,About Us,200,OK,BGCA Thread Group 1-14,text,false,"The operation lasted too long: It took 2,859 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,5,5,https://www.bgca.org/about-us,2579,0,0
1674560714136,3538,About Us,200,OK,BGCA Thread Group 1-7,text,false,"The operation lasted too long: It took 3,538 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,5,5,https://www.bgca.org/about-us,3273,0,0
1674560714797,3191,About Us,200,OK,BGCA Thread Group 1-5,text,false,"The operation lasted too long: It took 3,191 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96339,422,1,1,https://www.bgca.org/about-us,2937,0,0
1674561167159,5499,BGCA home page,200,OK,BGCA Thread Group 1-6,text,false,"The operation lasted too long: It took 5,499 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,4989,0,1258
1674561167562,5393,BGCA home page,200,OK,BGCA Thread Group 1-9,text,false,"The operation lasted too long: It took 5,393 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,4609,0,824
1674561167420,5514,BGCA home page,200,OK,BGCA Thread Group 1-8,text,false,"The operation lasted too long: It took 5,514 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,4751,0,944
1674561167843,5153,BGCA home page,200,OK,BGCA Thread Group 1-11,text,false,"The operation lasted too long: It took 5,153 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,4575,0,890
1674561168352,4695,BGCA home page,200,OK,BGCA Thread Group 1-15,text,false,"The operation lasted too long: It took 4,695 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,3926,0,786
1674561172840,1390,About Us,200,OK,BGCA Thread Group 1-6,text,true,,96339,422,15,15,https://www.bgca.org/about-us,1361,0,0
1674561173038,1455,About Us,200,OK,BGCA Thread Group 1-9,text,true,,96339,422,14,14,https://www.bgca.org/about-us,1200,0,0
1674561173083,1552,About Us,200,OK,BGCA Thread Group 1-11,text,true,,96339,422,13,13,https://www.bgca.org/about-us,1288,0,0
1674561173089,1565,About Us,200,OK,BGCA Thread Group 1-15,text,true,,96339,422,13,13,https://www.bgca.org/about-us,1293,0,0
1674561173042,1680,About Us,200,OK,BGCA Thread Group 1-8,text,true,,96339,422,11,11,https://www.bgca.org/about-us,1406,0,0
1674561167294,8099,BGCA home page,200,OK,BGCA Thread Group 1-7,text,false,"The operation lasted too long: It took 8,099 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,10,10,https://www.bgca.org/,7587,0,1123
